Script started on Thu Apr  4 19:20:37 2019
[?1034hbash-3.2$ screen /dev/cu.usbmodem45301401 115200
[?1049h[!p[?3;4l[4l>[4l[?1h=[0m(B[1;76r[H[2J[H[2J[75B[7mCannot exec '/dev/cu.usbmodem45301401': No such file or directory[27m                                                                     [H[?1l>[76;1H
[?1049l[screen is terminating]
bash-3.2$ screen /dev/cu.usbmodem45301401 115200
[?1049h[!p[?3;4l[4l>[4l[?1h=[0m(B[1;76r[H[2J[H[2JEXPERIMENTO ESCALON 1, CON DIRECCION: ADELANTE
input   wi  wo
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
255 8.51 0.00
255 8.51 0.60
255 8.51 2.17
255 8.51 3.14
255 8.51 3.81
255 8.51 4.86
255 8.51 5.46
255 8.51 5.91
255 8.51 6.28
255 8.51 6.73
255 8.51 6.88
255 8.51 7.18
255 8.51 7.41
255 8.51 7.55
255 8.51 7.63
255 8.51 7.85
255 8.51 7.93
255 8.51 8.00
255 8.51 8.15
255 8.51 8.15
255 8.51 8.23
255 8.51 8.23
255 8.51 8.38
255 8.51 8.38
255 8.51 7.62
255 8.51 8.45
255 8.51 8.45
255 8.51 8.45
255 8.51 8.53
255 8.51 8.53
255 8.51 8.53
255 8.51 8.53
255 8.51 8.60
255 8.51 8.53
255 8.51 8.60
255 8.51 8.53
255 8.51 8.60
255 8.51 8.60
255 8.51 8.60
255 8.51 8.60
255 8.51 8.60
255 8.51 8.53
255 8.51 8.68
255 8.51 7.82
255 8.51 8.60
255 8.51 8.60
255 8.51 8.60
255 8.51 8.60
255 8.51 8.68
255 8.51 8.60
255 8.51 8.68
255 8.51 8.60
255 8.51 8.68
255 8.51 8.60
255 8.51 8.68
255 8.51 8.68
255 8.51 8.60
255 8.51 8.68
255 8.51 8.68
255 8.51 8.60
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 7.89
255 8.51 8.60
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.60
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.75
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 7.89
255 8.51 8.68
255 8.51 8.75
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.75
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 7.89
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.75
255 8.51 8.68
255 8.51 8.60
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.75
255 8.51 8.68
255 8.51 8.60
255 8.51 8.68
255 8.51 7.89
255 8.51 8.75
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.75
255 8.51 7.89
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.75
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.75
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 7.89
255 8.51 8.75
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.75
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.75
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.75
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 7.89
255 8.51 8.68
255 8.51 8.75
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
0 0.00 7.89
0 0.00 8.08
0 0.00 6.96
0 0.00 5.98
0 0.00 5.01
0 0.00 4.26
0 0.00 3.44
0 0.00 2.84
0 0.00 2.32
0 0.00 1.80
0 0.00 1.50
0 0.00 1.20
0 0.00 0.90
0 0.00 0.67
0 0.00 0.52
0 0.00 0.37
0 0.00 0.30
0 0.00 0.22
0 0.00 0.15
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 -0.07
0 0.00 -0.07
0 0.00 -0.07
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
255 8.51 0.00
255 8.51 0.60
255 8.51 2.09
255 8.51 3.22
255 8.51 4.11
255 8.51 4.86
255 8.51 5.46
255 8.51 5.91
255 8.51 6.28
255 8.51 6.66
255 8.51 6.88
255 8.51 7.18
255 8.51 7.33
255 8.51 6.87
255 8.51 7.70
255 8.51 7.78
255 8.51 7.93
255 8.51 8.00
255 8.51 8.08
255 8.51 8.15
255 8.51 8.15
255 8.51 8.30
255 8.51 8.30
255 8.51 8.38
255 8.51 8.38
255 8.51 8.45
255 8.51 8.45
255 8.51 8.45
255 8.51 8.53
255 8.51 8.53
255 8.51 8.53
255 8.51 8.53
255 8.51 7.75
255 8.51 8.60
255 8.51 8.60
255 8.51 8.53
255 8.51 8.60
255 8.51 8.60
255 8.51 8.60
255 8.51 8.68
255 8.51 8.60
255 8.51 8.68
255 8.51 8.60
255 8.51 8.60
255 8.51 8.68
255 8.51 8.60
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.60
255 8.51 8.68
255 8.51 8.68
255 8.51 7.89
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.60
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.60
255 8.51 7.89
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.60
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.60
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 7.89
255 8.51 8.60
255 8.51 8.68
255 8.51 8.75
255 8.51 8.68
255 8.51 8.60
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 7.89
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.75
255 8.51 8.68
255 8.51 8.68
255 8.51 8.60
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 7.82
255 8.51 8.68
255 8.51 8.68
255 8.51 8.60
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.60
255 8.51 8.68
255 8.51 8.68
255 8.51 8.60
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.60
255 8.51 8.68
255 8.51 8.60
255 8.51 8.68
255 8.51 8.68
255 8.51 8.60
255 8.51 7.89
255 8.51 8.68
255 8.51 8.60
255 8.51 8.68
255 8.51 8.60
255 8.51 8.68
255 8.51 8.60
255 8.51 8.68
255 8.51 8.60
255 8.51 8.68
255 8.51 8.60
255 8.51 8.68
255 8.51 8.68
255 8.51 8.60
255 8.51 8.68
255 8.51 8.60
255 8.51 8.68
255 8.51 8.60
255 8.51 8.68
255 8.51 7.89
255 8.51 8.60
255 8.51 8.68
255 8.51 8.60
255 8.51 8.68
255 8.51 8.68
255 8.51 8.60
255 8.51 8.68
255 8.51 8.68
255 8.51 8.60
255 8.51 8.68
255 8.51 8.68
255 8.51 8.60
255 8.51 8.68
255 8.51 8.68
255 8.51 8.60
255 8.51 8.68
255 8.51 8.60
255 8.51 8.68
255 8.51 8.68
255 8.51 7.82
255 8.51 8.68
255 8.51 8.68
255 8.51 8.60
255 8.51 8.68
255 8.51 8.68
255 8.51 8.60
255 8.51 8.68
255 8.51 8.68
255 8.51 8.60
255 8.51 8.68
255 8.51 8.68
0 0.00 8.68
0 0.00 8.08
0 0.00 7.03
0 0.00 5.91
0 0.00 5.01
0 0.00 4.26
0 0.00 3.44
0 0.00 2.84
0 0.00 2.11
0 0.00 1.87
0 0.00 1.50
0 0.00 1.12
0 0.00 0.90
0 0.00 0.75
0 0.00 0.52
0 0.00 0.37
0 0.00 0.30
0 0.00 0.15
0 0.00 0.15
0 0.00 0.15
0 0.00 0.07
0 0.00 0.00
0 0.00 0.00
0 0.00 -0.07
0 0.00 -0.07
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
255 8.51 0.00
255 8.51 0.61
255 8.51 2.09
255 8.51 3.22
255 8.51 4.11
255 8.51 4.86
255 8.51 5.46
255 8.51 5.91
255 8.51 6.28
255 8.51 6.66
255 8.51 6.96
255 8.51 7.18
255 8.51 7.33
255 8.51 7.55
255 8.51 7.63
255 8.51 7.78
255 8.51 7.93
255 8.51 8.00
255 8.51 8.08
255 8.51 8.15
255 8.51 8.15
255 8.51 7.55
255 8.51 8.30
255 8.51 8.30
255 8.51 8.38
255 8.51 8.38
255 8.51 8.45
255 8.51 8.45
255 8.51 8.53
255 8.51 8.45
255 8.51 8.53
255 8.51 8.53
255 8.51 8.53
255 8.51 8.60
255 8.51 8.53
255 8.51 8.60
255 8.51 8.60
255 8.51 8.60
255 8.51 8.53
255 8.51 8.60
255 8.51 7.82
255 8.51 8.68
255 8.51 8.60
255 8.51 8.60
255 8.51 8.60
255 8.51 8.68
255 8.51 8.60
255 8.51 8.68
255 8.51 8.60
255 8.51 8.68
255 8.51 8.60
255 8.51 8.68
255 8.51 8.60
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.60
255 8.51 8.68
255 8.51 8.68
255 8.51 7.82
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.60
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.60
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.60
255 8.51 8.68
255 8.51 8.68
255 8.51 7.89
255 8.51 8.68
255 8.51 8.60
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.60
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.60
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 7.82
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.60
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 7.89
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.75
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 7.89
255 8.51 8.68
255 8.51 8.68
255 8.51 8.75
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 7.89
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 7.89
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.75
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 7.89
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
0 0.00 8.68
0 0.00 8.15
0 0.00 7.03
0 0.00 5.98
0 0.00 5.09
0 0.00 4.26
0 0.00 3.52
0 0.00 2.84
0 0.00 2.32
0 0.00 1.87
0 0.00 1.50
0 0.00 1.20
0 0.00 0.90
0 0.00 0.67
0 0.00 0.52
0 0.00 0.45
0 0.00 0.30
0 0.00 0.20
0 0.00 0.15
0 0.00 0.07
0 0.00 0.07
0 0.00 0.07
0 0.00 0.00
0 0.00 0.00
0 0.00 -0.07
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
255 8.51 0.00
255 8.51 0.67
255 8.51 2.02
255 8.51 3.22
255 8.51 4.11
255 8.51 4.86
255 8.51 5.39
255 8.51 5.91
255 8.51 6.28
255 8.51 6.05
255 8.51 6.96
255 8.51 7.11
255 8.51 7.41
255 8.51 7.48
255 8.51 7.70
255 8.51 7.78
255 8.51 7.93
255 8.51 7.93
255 8.51 8.15
255 8.51 8.15
255 8.51 8.15
255 8.51 8.30
255 8.51 8.30
255 8.51 8.30
255 8.51 8.38
255 8.51 8.38
255 8.51 8.45
255 8.51 8.45
255 8.51 7.75
255 8.51 8.45
255 8.51 8.53
255 8.51 8.53
255 8.51 8.53
255 8.51 8.60
255 8.51 8.53
255 8.51 8.60
255 8.51 8.53
255 8.51 8.60
255 8.51 8.60
255 8.51 8.53
255 8.51 8.60
255 8.51 8.60
255 8.51 8.60
255 8.51 8.68
255 8.51 8.60
255 8.51 8.60
255 8.51 8.68
255 8.51 8.60
255 8.51 7.89
255 8.51 8.60
255 8.51 8.68
255 8.51 8.60
255 8.51 8.68
255 8.51 8.60
255 8.51 8.68
255 8.51 8.68
255 8.51 8.60
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.60
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 7.89
255 8.51 8.68
255 8.51 8.68
255 8.51 8.60
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.60
255 8.51 8.68
255 8.51 7.96
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.75
255 8.51 8.60
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.75
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 7.89
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.75
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 7.89
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.75
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.75
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 7.96
255 8.51 8.68
255 8.51 8.68
255 8.51 8.75
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.68
255 8.51 8.75
